ID;density;pH;sulphates;magnesium;alcohol;lightness;quality
1;1,00;3,51;0,56;0,86;9,40;0,109;5,00
2;1,00;3,20;0,68;0,56;9,80;0,107;5,00
3;1,00;3,26;0,65;0,47;9,80;0,106;5,00
4;1,00;3,16;0,58;0,33;9,80;0,111;6,00
5;1,00;3,51;0,56;0,91;9,40;0,107;5,00
6;1,00;3,51;0,56;0,52;9,40;0,109;5,00
7;1,00;3,30;0,46;0,92;9,40;0,108;5,00
8;0,99;3,39;0,47;0,89;10,00;0,104;7,00
9;1,00;3,36;0,57;0,10;9,50;0,108;7,00
10;1,00;3,35;0,80;0,57;10,50;0,100;5,00
11;1,00;3,28;0,54;0,97;9,20;0,111;5,00
12;1,00;;0,80;0,42;10,50;0,101;5,00
13;0,99;3,58;0,52;0,25;9,90;0,108;5,00
14;1,00;3,26;1,56;0,14;9,10;0,112;5,00
15;1,00;3,16;0,88;0,90;9,20;0,111;5,00
16;1,00;3,17;0,93;0,91;9,20;0,115;5,00
17;1,00;3,30;0,75;0,93;10,50;0,096;7,00
18;1,00;3,11;1,28;0,90;9,30;0,116;5,00
19;1,00;3,38;0,50;0,47;9,00;0,115;4,00
20;1,00;3,04;1,08;0,08;9,20;0,117;6,00
21;1,00;3,39;0,53;0,14;9,40;0,111;6,00
22;1,00;10,30;0,65;0,92;9,70;0,107;5,00
23;1,00;3,17;0,91;0,59;9,50;0,112;5,00
24;1,00;3,17;0,53;0,87;9,40;0,110;5,00
25;1,00;3,43;0,63;0,52;9,70;0,110;6,00
26;1,00;3,34;0,56;0,71;9,30;0,114;5,00
27;1,00;3,28;0,59;0,23;9,50;0,113;5,00
28;1,00;3,17;0,91;0,64;9,50;0,106;5,00
29;1,00;3,47;0,55;0,23;9,40;0,114;5,00
30;1,00;3,38;0,59;0,00;9,80;0,110;6,00
31;1,00;3,35;0,54;0,28;10,10;0,100;5,00
32;1,00;3,46;0,57;0,78;10,60;0,103;6,00
33;1,00;3,17;0,66;0,46;9,80;0,104;5,00
34;1,00;3,45;0,52;0,83;9,40;0,107;6,00
35;1,00;3,38;0,55;0,62;9,20;0,116;5,00
36;1,00;3,40;0,55;0,29;9,60;0,113;6,00
37;1,00;3,42;0,60;0,75;10,80;0,098;6,00
38;1,00;3,23;0,73;0,97;9,70;0,106;7,00
39;0,99;3,50;0,48;0,94;9,80;0,107;4,00
40;1,00;3,33;0,83;0,85;10,50;0,098;5,00
41;1,00;3,33;0,83;0,79;10,50;0,103;5,00
42;1,00;3,26;0,51;0,58;9,30;0,116;4,00
43;1,00;3,21;0,90;0,74;10,50;0,104;6,00
