ID;fixed acidity;volatile acidity;citric acid
1;7;0,27;0,36
2;6,3;0,3;0,34
3;8,1;0,28;0,4
4;7,2;0,23;0,32
5;7,2;0,23;0,32
6;8,1;0,28;0,4
7;6,2;0,32;0,16
8;7;0,27;0,36
9;6,3;0,3;0,34
10;8,1;0,22;0,43
11;8,1;0,27;0,41
12;8,6;0,23;0,4
13;7,9;0,18;0,37
14;6,6;0,16;0,4
15;8,3;0,42;0,62
16;6,6;0,17;0,38
17;6,3;0,48;0,04
18;6,2;0,66;0,48
19;7,4;0,34;0,42
20;6,5;0,31;0,14
21;6,2;0,66;0,48
22;6,4;0,31;0,38
23;6,8;0,26;0,42
24;7,6;0,67;0,14
25;6,6;0,27;0,41
26;7;0,25;0,32
27;6,9;0,24;0,35
28;7;0,28;0,39
29;7,4;0,27;0,48
30;7,2;0,32;0,36
31;8,5;0,24;0,39
32;8,3;0,14;0,34
33;7,4;0,25;0,36
34;6,2;0,12;0,34
35;5,8;0,27;0,2
36;7,3;0,28;0,43
37;6,5;0,39;0,23
38;7;0,33;0,32
39;7,3;0,24;0,39
40;7,3;0,24;0,39
41;6,7;0,23;0,39
42;6,7;0,24;0,39
43;7;0,31;0,26
44;6,6;0,24;0,27
45;6,7;0,23;0,26
46;7,4;0,18;0,31
47;6,2;0,45;0,26
48;6,2;0,46;0,25
49;7;0,31;0,26
50;6,9;0,19;0,35
51;7,2;0,19;0,31
52;6,6;0,25;0,29
53;6,2;0,16;0,33
54;6,4;0,18;0,35
55;6,8;0,2;0,59
56;6,9;0,25;0,35
57;7,2;0,21;0,34
58;6;0,19;0,26
59;6,6;0,38;0,15
60;7,4;0,2;0,36
61;6,8;0,22;0,24
62;6;0,19;0,26
63;7;0,47;0,07
64;6,6;0,38;0,15
65;7,2;0,24;0,27
66;6,2;0,35;0,03
67;6,4;0,26;0,24
68;6,7;0,25;0,13
69;6,7;0,23;0,31
70;7,4;0,24;0,29
71;6,2;0,27;0,43
72;6,8;0,3;0,23
73;6;0,27;0,28
74;8,6;0,23;0,46
75;6,7;0,23;0,31
76;7,4;0,24;0,29
77;7,1;0,18;0,36
78;7;0,32;0,34
79;7,4;0,18;0,3
80;6,7;0,54;0,28
81;6,8;0,22;0,31
82;7,1;0,2;0,34
83;7,1;0,34;0,2
84;7,3;0,22;0,3
85;7,1;0,43;0,61
86;7,1;0,44;0,62
87;7,2;0,39;0,63
88;6,8;0,25;0,31
89;7,1;0,43;0,61
90;7,1;0,44;0,62
91;7,2;0,39;0,63
92;6,1;0,27;0,43
93;6,9;0,24;0,33
94;6,9;0,21;0,33
95;7,5;0,17;0,32
96;7,1;0,26;0,29
97;6;0,34;0,66
98;8,6;0,265;0,36
99;9,8;0,36;0,46
100;6;0,34;0,66
101;7,4;0,25;0,37
102;7,1;0,12;0,32
103;6;0,21;0,24
104;7,5;0,305;0,4
105;7,4;0,25;0,37
106;7,3;0,13;0,32
107;7,1;0,12;0,32
108;7,1;0,23;0,35
109;7,1;0,23;0,35
110;6,9;0,33;0,28
111;6,5;0,17;0,54
112;7,2;0,27;0,46
113;7,2;0,31;0,5
114;6,7;0,41;0,34
115;6,7;0,41;0,34
116;5,5;0,485;0
117;6;0,31;0,24
118;7;0,14;0,4
119;7,2;0,31;0,5
120;7,3;0,32;0,48
121;5,9;0,36;0,04
122;7,8;0,24;0,32
123;7,4;0,16;0,31
124;6,9;0,19;0,28
125;6,4;0,13;0,47
126;6,7;0,19;0,36
127;7,4;0,39;0,23
128;6,5;0,24;0,32
129;6,1;0,3;0,56
130;6,1;0,3;0,56
131;5,7;0,26;0,25
132;6,5;0,24;0,32
133;6,5;0,425;0,4
134;6,6;0,24;0,27
135;6,8;0,27;0,22
136;6,7;0,27;0,31
137;8,2;0,23;0,4
138;7,1;0,37;0,67
139;6,8;0,19;0,36
140;8,1;0,28;0,39
141;6,3;0,31;0,34
142;7,1;0,37;0,67
143;7,9;0,21;0,4
144;8,5;0,21;0,41
145;8,1;0,2;0,4
146;6,3;0,255;0,37
147;5,6;0,16;0,27
148;6,4;0,595;0,14
149;6,3;0,34;0,33
150;6,9;0,25;0,3
151;7,9;0,22;0,38
152;7,6;0,18;0,46
153;6,9;0,25;0,3
154;7,2;0,18;0,41
155;8,2;0,23;0,4
156;7,4;0,24;0,42
157;7,4;0,24;0,42
158;6,1;0,32;0,24
159;5,2;0,44;0,04
160;5,2;0,44;0,04
161;6,1;0,32;0,24
162;6,4;0,22;0,56
