ID;residual sugar;chlorides;flavanoids;free sulfur dioxide;total sulfur dioxide;density;pH;magnesium;sulphates;alcohol;lightness;quality
1;20,7;0,045;0,38;45;170;1,001;3;0,46;0,45;8,8;0,13;6
2;1,6;0,049;0,38;14;132;0,994;3,3;0,56;0,49;9,5;0,11;6
3;6,9;0,05;0,38;30;97;0,9951;3,26;0,56;0,44;10,1;0,11;6
4;8,5;0,058;0,38;47;186;0,9956;3,19;0,53;0,4;9,9;0,12;6
5;8,5;0,058;0,38;47;186;0,9956;3,19;0,52;0,4;9,9;0,1;6
6;6,9;0,05;0,38;30;97;0,9951;3,26;0,52;0,44;10,1;0,11;6
7;7;0,045;0,38;30;136;0,9949;3,18;0,46;0,47;9,6;0,11;6
8;20,7;0,045;0,38;45;170;1,001;3;0,46;0,45;8,8;0,12;6
9;1,6;0,049;0,38;14;132;0,994;3,3;0,56;0,49;9,5;0,11;6
10;1,5;0,044;0,38;28;129;0,9938;3,22;0,56;0,45;11;0,11;6
11;1,45;0,033;0,38;11;63;0,9908;2,99;0,53;0,56;12;0,09;5
12;4,2;0,035;0,38;17;109;0,9947;3,14;0,52;0,53;9,7;0,12;5
13;1,2;0,04;0,38;16;75;0,992;3,18;0,52;0,63;10,8;0,1;5
14;1,5;0,044;0,38;48;143;0,9912;3,54;0,46;0,52;12,4;0,09;7
15;19,25;0,04;0,38;41;172;1,0002;2,98;0,46;0,67;9,7;0,12;5
16;1,5;0,032;0,38;28;112;0,9914;3,25;0,56;0,55;11,4;0,1;7
17;1,1;0,046;0,38;30;99;0,9928;3,24;0,56;0,36;9,6;0,11;6
18;1,2;0,029;0,38;29;75;0,9892;3,33;0,53;0,39;12,8;0,09;8
19;1,1;0,033;0,38;17;171;0,9917;3,12;0,52;0,53;11,3;0,09;6
20;7,5;0,044;0,38;34;133;0,9955;3,22;0,52;0,5;9,5;0,11;5
21;1,2;0,029;0,38;29;75;0,9892;3,33;0,46;0,39;12,8;0,08;8
22;2,9;0,038;0,38;19;102;0,9912;3,17;0,91;0,35;11;0,11;7
23;1,7;0,049;0,38;41;122;0,993;3,47;0,52;0,48;10,5;0,1;8
24;1,5;0,074;0,38;25;168;0,9937;3,05;0,92;0,51;9,3;0,13;5
25;1,3;0,052;0,38;16;142;0,9951;3,42;0,89;0,47;10;0,11;6
26;9;0,046;0,38;56;245;0,9955;3,25;0,10;0,5;10,4;0,1;6
27;1;0,052;0,38;35;146;0,993;3,45;0,57;0,44;10;0,11;6
28;8,7;0,051;0,38;32;141;0,9961;3,38;0,97;0,53;10,5;0,1;6
29;1,1;0,047;0,38;17;132;0,9914;3,19;0,42;0,49;11,6;0,09;6
30;2;0,033;0,38;37;114;0,9906;3,1;0,25;0,71;12,3;0,1;7
31;10,4;0,044;0,38;20;142;0,9974;3,2;0,14;0,53;10;0,11;6
32;1,1;0,042;0,38;7;47;0,9934;3,47;0,90;0,4;10,2;0,11;6
33;2,05;0,05;0,38;31;100;0,992;3,19;0,91;0,44;10,8;0,11;6
34;1,5;0,045;0,38;43;117;0,9939;3,42;0,93;0,51;9;0,13;6
35;14,95;0,044;0,38;22;179;0,9962;3,37;0,90;0,37;10,2;0,1;5
36;1,7;0,08;0,38;21;123;0,9905;3,19;0,47;0,42;12,8;0,09;5
37;5,4;0,051;0,38;25;149;0,9934;3,24;0,08;0,35;10;0,1;5
38;1,2;0,053;0,38;38;138;0,9906;3,13;0,14;0,28;11,2;0,1;6
39;17,95;0,057;0,38;45;149;0,9999;3,21;0,92;0,36;8,6;0,13;5
40;17,95;0,057;0,38;45;149;0,9999;3,21;0,59;0,36;8,6;0,13;5
41;2,5;0,172;0,38;63;158;0,9937;3,11;0,87;0,36;9,4;0,11;6
42;2,9;0,173;0,38;63;157;0,9937;3,1;0,52;0,34;9,4;0,12;6
43;7,4;0,069;0,38;28;160;0,9954;3,13;0,71;0,46;9,8;0,11;6
44;1,4;0,057;0,38;33;152;0,9934;3,22;0,23;0,56;9,5;0,12;6
45;1,4;0,06;0,38;33;154;0,9934;3,24;0,64;0,56;9,5;0,11;6
46;1,4;0,058;0,38;38;167;0,9931;3,16;0,23;0,53;10;0,11;7
47;4,4;0,063;0,38;63;206;0,994;3,27;0,00;0,52;9,8;0,12;4
48;4,4;0,066;0,38;62;207;0,9939;3,25;0,28;0,52;9,8;0,11;5
49;7,4;0,069;0,38;28;160;0,9954;3,13;0,78;0,46;9,8;0,12;6
50;5;0,067;0,38;32;150;0,995;3,36;0,46;0,48;9,8;0,1;5
51;1,6;0,062;0,38;31;173;0,9917;3,35;0,83;0,44;11,7;0,1;6
52;1,1;0,068;0,38;39;124;0,9914;3,34;0,62;0,58;11;0,11;7
53;1,1;0,057;0,38;21;82;0,991;3,32;0,29;0,46;10,9;0,1;7
54;1;0,045;0,38;39;108;0,9911;3,31;0,75;0,35;10,9;0,1;6
55;0,9;0,147;0,38;38;132;0,993;3,05;0,97;0,38;9,1;0,11;6
56;1,3;0,039;0,38;29;191;0,9908;3,13;0,94;0,52;11;0,11;6
57;11,9;0,043;0,38;37;213;0,9962;3,09;0,85;0,5;9,6;0,11;6
58;12,4;0,048;0,38;50;147;0,9972;3,3;0,79;0,36;8,9;0,12;6
